survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_z,is_outlier
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,0.5024451714361923,False
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,0.7868452935884461,False
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0.4888542575852486,False
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,0.4207302360686478,False
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.4863374216869257,False
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,0.47811642890864375,False
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,0.395813560675251,False
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,0.22408312108167944,False
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,0.4242561406845337,False
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,0.04295550208861426,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,0.312172377522981,False
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,0.11384570873513637,False
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.4863374216869257,False
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,0.01870931177853076,False
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,0.4902797934380587,False
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,0.3262666585535892,False
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,0.06199888922968463,False
1,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0.3866707201133388,False
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,0.2859972841804228,False
1,3,female,28.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,0.5029485386158568,False
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0.12491978668775715,False
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0.3866707201133388,False
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,0.4867562231804066,False
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,0.06635974158478332,False
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,0.22408312108167944,False
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,0.016444159470040135,False
0,3,male,28.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0.5029485386158568,False
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,4.647001076532463,True
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0.48977642625839407,False
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0.4894421904510968,False
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0.09027201697708476,False
1,1,female,28.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,2.301728820789,False
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0.49237782784290063,False
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.43700743807979686,False
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,1.0060617003323709,False
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,0.39858208016340624,False
1,3,male,28.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,0.5028639729296732,False
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.4863374216869257,False
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,0.2859972841804228,False
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,0.42207354059350805,False
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,0.4576454924460446,False
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,0.22559322262067316,False
0,3,male,28.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0.4894421904510968,False
